<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KSK,20180330,1.00,1.10,1.00,1.10,104200
KSK,20180329,1.10,1.10,1.00,1.00,125100
KSK,20180328,1.00,1.10,1.00,1.10,21800
KSK,20180327,1.10,1.10,1.00,1.00,115300
KSK,20180326,1.00,1.10,0.90,1.00,198126
KSK,20180323,1.00,1.10,1.00,1.00,226900
KSK,20180322,1.00,1.10,1.00,1.00,80804
KSK,20180321,1.10,1.10,1.00,1.00,194350
KSK,20180320,1.10,1.10,1.00,1.10,89110
KSK,20180319,1.10,1.10,1.00,1.10,410500
KSK,20180316,1.10,1.10,1.00,1.10,82900
KSK,20180315,1.10,1.10,1.00,1.10,143400
KSK,20180314,1.10,1.20,1.10,1.10,294800
KSK,20180313,1.10,1.20,1.10,1.10,68590
KSK,20180312,1.20,1.20,1.10,1.10,109610
KSK,20180309,1.20,1.20,1.10,1.10,422400
KSK,20180308,1.20,1.20,1.00,1.20,49000
KSK,20180307,1.10,1.10,1.10,1.10,136300
KSK,20180306,1.10,1.20,1.10,1.10,201700
KSK,20180305,1.20,1.20,1.10,1.10,86000
KSK,20180302,1.10,1.20,1.10,1.20,13100
KSK,20180301,1.10,1.20,1.10,1.10,85630
KSK,20180228,1.10,1.20,1.10,1.10,137314
KSK,20180227,1.10,1.10,1.10,1.10,100320
KSK,20180226,1.10,1.20,1.10,1.20,103600
KSK,20180223,1.20,1.20,1.10,1.20,92500
KSK,20180222,1.10,1.20,1.10,1.10,103110
KSK,20180221,1.20,1.20,1.10,1.20,14500
KSK,20180213,1.10,1.20,1.10,1.20,276800
KSK,20180212,1.10,1.10,1.00,1.10,328200
KSK,20180209,1.10,1.10,1.00,1.10,36100
KSK,20180208,1.20,1.20,1.10,1.10,49100
KSK,20180207,1.10,1.20,1.10,1.20,35600
KSK,20180206,1.10,1.10,1.00,1.10,124630
KSK,20180205,1.20,1.20,1.10,1.10,293712
KSK,20180202,1.20,1.30,1.20,1.20,43100
KSK,20180201,1.20,1.20,1.20,1.20,193300
KSK,20180131,1.30,1.30,1.20,1.20,617700
KSK,20180130,1.20,1.30,1.20,1.30,163102
KSK,20180129,1.20,1.30,1.20,1.30,31810
KSK,20180126,1.30,1.30,1.20,1.30,44100
KSK,20180125,1.30,1.30,1.20,1.30,125200
KSK,20180124,1.30,1.40,1.30,1.30,24000
KSK,20180123,1.30,1.40,1.30,1.30,389500
KSK,20180122,1.20,1.30,1.20,1.30,69800
KSK,20180119,1.30,1.30,1.20,1.20,22900
KSK,20180118,1.30,1.30,1.20,1.30,58900
KSK,20180117,1.30,1.30,1.30,1.30,295380
KSK,20180116,1.30,1.40,1.30,1.30,418600
KSK,20180115,1.40,1.40,1.30,1.40,35600
