<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SGH,20180330,27.10,27.10,27.00,27.00,700
SGH,20180329,30.00,30.00,30.00,30.00,100
SGH,20180328,33.30,33.30,33.30,33.30,100
SGH,20180321,37.00,37.00,37.00,37.00,100
SGH,20180320,39.80,39.80,39.80,39.80,108
SGH,20180312,39.50,39.50,39.50,39.50,100
SGH,20180308,37.50,37.50,37.50,37.50,100
SGH,20180302,36.00,36.00,36.00,36.00,10
SGH,20180228,36.00,36.00,36.00,36.00,100
SGH,20180227,37.00,40.00,37.00,40.00,800
SGH,20180213,36.50,36.50,36.50,36.50,100
SGH,20180212,34.40,34.40,34.20,34.20,200
SGH,20180209,31.40,31.40,28.50,31.30,300
SGH,20180208,28.60,28.60,28.60,28.60,100
SGH,20180207,26.00,26.00,26.00,26.00,110
SGH,20180206,23.70,23.70,23.70,23.70,100
SGH,20180205,26.00,26.00,26.00,26.00,100
SGH,20180202,28.60,28.60,28.60,28.60,300
SGH,20180131,26.00,26.00,26.00,26.00,400
SGH,20180130,28.80,28.80,28.80,28.80,300
SGH,20180129,32.00,32.00,32.00,32.00,200
SGH,20180116,31.90,35.00,31.90,31.90,4300
SGH,20180111,35.40,35.40,35.40,35.40,2710
SGH,20180110,38.00,39.30,38.00,39.30,300
SGH,20180108,38.00,38.00,38.00,38.00,40
SGH,20180105,38.00,38.00,38.00,38.00,10
SGH,20180104,35.40,38.00,35.40,38.00,600
SGH,20180103,39.30,39.30,39.30,39.30,40
SGH,20171219,39.30,39.30,39.30,39.30,5
SGH,20171129,39.30,39.30,39.30,39.30,10
SGH,20171117,39.30,39.30,39.30,39.30,15
SGH,20171017,39.30,39.30,39.30,39.30,200
SGH,20170921,36.20,36.20,36.20,36.20,100
SGH,20170919,34.30,34.30,34.30,34.30,100
SGH,20170912,33.30,33.30,33.30,33.30,300
SGH,20170907,35.60,35.60,35.60,35.60,10
SGH,20170905,35.60,35.60,35.60,35.60,300
SGH,20170830,33.30,39.50,33.30,39.50,400
SGH,20170817,34.00,37.00,34.00,37.00,240
SGH,20170815,34.30,34.30,34.30,34.30,100
SGH,20170814,26.00,31.50,25.90,31.50,3712
SGH,20170810,26.20,28.70,26.20,28.70,20200
SGH,20170809,26.20,26.20,26.20,26.20,100
SGH,20170807,29.00,29.20,25.00,29.00,500
SGH,20170804,28.00,29.90,26.60,26.60,600
